sym_idx,demod_I,demod_Q,locked
1066,-1904,-596,1
1067,1864,1641,1
1068,-688,662,1
1069,-704,-1935,1
1070,1949,-631,1
1071,642,-1832,1
1072,1789,1659,1
1073,1927,-709,1
1074,719,-2044,1
1075,642,1858,1
1076,-1948,-598,1
1077,-1913,681,1
1078,-1632,1775,1
1079,-1827,-1586,1
1080,-1842,-676,1
1081,1590,-1809,1
1082,620,1946,1
1083,586,1950,1
1084,-603,-1910,1
1085,-675,1909,1
1086,-1778,-1570,1
1087,1859,1539,1
1088,-643,-1942,1
1089,684,-614,1
1090,-1716,-1560,1
1091,662,1893,1
1092,1565,-1699,1
1093,-634,686,1
1094,700,-547,1
1095,1956,-607,1
1096,1984,711,1
1097,720,-1950,1
1098,677,602,1
1099,1902,-758,1
1100,559,-622,1
1101,672,-1942,1
1102,-548,-1989,1
1103,-570,641,1
1104,1504,-1717,1
1105,-546,-1975,1
1106,1635,1535,1
1107,1828,-685,1
1108,-648,1951,1
1109,612,1910,1
1110,-1506,1648,1
1111,-1951,539,1
1112,-1668,-1476,1
1113,1989,-578,1
1114,-619,-538,1
1115,-551,-1993,1
1116,1441,-1740,1
1117,-607,-1932,1
1118,-580,-1970,1
1119,-713,682,1
1120,1450,-1669,1
1121,1453,-1652,1
1122,-1789,-652,1
1123,1919,-699,1
1124,-564,1843,1
1125,740,-667,1
1126,-1981,-737,1
1127,-711,1960,1
1128,-736,1968,1
1129,1924,-661,1
1130,1915,-681,1
1131,557,644,1
1132,1905,786,1
1133,-710,1969,1
1134,1953,505,1
1135,-520,-1981,1
1136,637,-652,1
1137,-1495,1486,1
1138,646,-1886,1
1139,-1575,-1426,1
1140,-642,-727,1
1141,596,-653,1
1142,-1907,-656,1
1143,-611,-660,1
1144,1969,-550,1
1145,-658,499,1
1146,727,615,1
1147,786,682,1
1148,-520,-1930,1
1149,623,1950,1
1150,631,-647,1
1151,-1488,-1457,1
1152,-1438,1501,1
1153,577,-684,1
1154,-1438,1512,1
1155,1895,-647,1
1156,1553,1394,1
1157,1963,673,1
1158,-1791,-641,1
1159,-1455,-1470,1
1160,-1914,538,1
1161,1965,-666,1
1162,2001,-590,1
1163,-1384,1550,1
1164,-1470,1431,1
1165,594,1986,1
1166,-1909,-587,1
1167,-639,693,1
1168,1411,1487,1
1169,636,655,1
1170,663,-622,1
1171,1844,-655,1
1172,507,-1936,1
